id,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
4162869,bearing man group,bmgworld.net,1974.0,mechanical or industrial engineering,501 - 1000,"natal, rio grande do norte, brazil",brazil,linkedin.com/company/bearing-man-group,328,511
317720,reigate & banstead borough council,reigate-banstead.gov.uk,1974.0,government administration,201 - 500,"reigate, surrey, united kingdom",united kingdom,linkedin.com/company/reigate-&-banstead-borough-council,125,328
4000980,cnil - commission nationale de l'informatique et des libertés,cnil.fr,1978.0,government administration,201 - 500,"paris, île-de-france, france",france,linkedin.com/company/cnil---commission-nationale-de-l'informatique-et-des-libert-s,108,256
7081562,uop,uop.com,1914.0,oil & energy,1001 - 5000,,,linkedin.com/company/uop,374,606
3116596,emirates airlines,,,airlines/aviation,201 - 500,,,linkedin.com/company/emirates-airlines,116,165
5504725,the salvation army in canada,salvationarmy.ca,1865.0,non-profit organization management,1001 - 5000,"toronto, ontario, canada",canada,linkedin.com/company/the-salvation-army-in-canada,516,1104
4223329,coe college,coe.edu,1851.0,higher education,501 - 1000,"cedar rapids, iowa, united states",united states,linkedin.com/company/coe-college,396,1192
1730195,city of leduc,leduc.ca,,government administration,201 - 500,"leduc, alberta, canada",canada,linkedin.com/company/city-of-leduc,141,244
334185,calypso technology,calypso.com,1997.0,computer software,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/calypso-technology,511,1178
1786133,inmusic brands,inmusicbrands.com,1971.0,consumer electronics,201 - 500,"cumberland, rhode island, united states",united states,linkedin.com/company/inmusic-brands,177,457
262429,matanuska-susitna borough,matsugov.us,1964.0,government administration,201 - 500,"palmer, alaska, united states",united states,linkedin.com/company/matanuska-susitna-borough_2,105,185
6204868,groupe chantelle,groupechantelle.com,1876.0,textiles,1001 - 5000,"cachan, ile-de-france, france",france,linkedin.com/company/chantelle,482,1506
4092631,art gallery of ontario,ago.net,,museums and institutions,501 - 1000,"toronto, ontario, canada",canada,linkedin.com/company/art-gallery-of-ontario,489,1347
5086968,victory brewing company,victorybeer.com,1996.0,food & beverages,201 - 500,"downingtown, pennsylvania, united states",united states,linkedin.com/company/victory-brewing-company,119,328
6302646,pricewaterhousecoopers sia,pwc.lv,1993.0,accounting,201 - 500,"rīga, riga, latvia",latvia,linkedin.com/company/pricewaterhousecoopers-sia,110,679
1221504,national catering company,ncc.com,1995.0,hospitality,501 - 1000,"abu dhabi, abu dhabi, united arab emirates",united arab emirates,linkedin.com/company/national-catering-company,245,369
5958291,sermicro,sermicro.com,1985.0,information technology and services,1001 - 5000,"madrid, madrid, spain",spain,linkedin.com/company/sermicro,588,2672
5821613,macmillan learning,macmillanlearning.com,,education management,501 - 1000,"new york, new york, united states",united states,linkedin.com/company/macmillan-learning,462,696
5649766,elsys,elsys.com.br,1989.0,electrical/electronic manufacturing,201 - 500,"valinhos, sao paulo, brazil",brazil,linkedin.com/company/elsys_2,161,383
3583771,rustic pathways,rusticpathways.com,1983.0,"leisure, travel & tourism",201 - 500,"huntsburg, ohio, united states",united states,linkedin.com/company/rustic-pathways,154,784
3236618,life fitness,lifefitness.com,,"health, wellness and fitness",1001 - 5000,"rosemont, illinois, united states",united states,linkedin.com/company/life-fitness,981,2200
3099107,grupo radio centro,,,broadcast media,501 - 1000,"mexico, distrito federal, mexico",mexico,linkedin.com/company/grupo-radio-centro,206,494
1581313,doğuş teknoloji,d-teknoloji.com.tr,2012.0,information technology and services,501 - 1000,"i̇stanbul, istanbul, turkey",turkey,linkedin.com/company/dogus-teknoloji,217,385
939451,tulane university,tulane.edu,1834.0,higher education,5001 - 10000,"new orleans, louisiana, united states",united states,linkedin.com/company/tulane-university,3745,11368
5779938,helse nord ikt,hn-ikt.no,2006.0,hospital & health care,1001 - 5000,"tromsø, troms, norway",norway,linkedin.com/company/helse-nord-ikt,359,489
1069084,"covenant testing technologies, llc",ctest.com,2013.0,oil & energy,201 - 500,"sugar land, texas, united states",united states,linkedin.com/company/covenanttesting,125,210
1226892,edison international,edison.com,2013.0,utilities,1001 - 5000,"rosemead, california, united states",united states,linkedin.com/company/edison-international,1259,1931
3995225,budapest airport,bud.hu,1943.0,aviation & aerospace,201 - 500,,,linkedin.com/company/budapest-airport,154,439
408237,raffles medical group,rafflesmedicalgroup.com,1978.0,hospital & health care,501 - 1000,,,linkedin.com/company/raffles-medical-group,320,764
5612787,åhléns ab,ahlens.se,1899.0,retail,1001 - 5000,"stockholm, stockholms lan, sweden",sweden,linkedin.com/company/ahlens-ab,617,2966
2815046,higher one,higherone.com,2000.0,higher education,201 - 500,"new haven, connecticut, united states",united states,linkedin.com/company/higher-one,148,613
996298,united nations mechanism for international criminal tribunals (un-mict),irmct.org,2010.0,judiciary,201 - 500,,,linkedin.com/company/unirmct,105,228
5109998,european committee of the regions,,1994.0,international affairs,501 - 1000,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,linkedin.com/company/european-committee-of-the-regions,211,759
6466898,yaman,yaman.com.br,2011.0,computer software,201 - 500,"barueri, sao paulo, brazil",brazil,linkedin.com/company/yaman,117,177
246909,postal annex,postalannex.com,1985.0,retail,201 - 500,"san diego, california, united states",united states,linkedin.com/company/postal-annex,128,302
312107,primagaz france,primagaz.fr,,oil & energy,501 - 1000,"la defense, hauts-de-seine, france",france,linkedin.com/company/primagaz,320,852
4817519,mwi veterinary supply,,1976.0,veterinary,201 - 500,"boise, idaho, united states",united states,linkedin.com/company/mwianimalhealth,243,364
117488,bumi armada,bumiarmada.com,1995.0,oil & energy,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/bumi-armada,1219,2545
3488848,premo group,grupopremo.com,1964.0,electrical/electronic manufacturing,201 - 500,"campanillas, malaga, spain",spain,linkedin.com/company/premo-group,109,294
